IdMunicipio;Municipio;IdDepartamento
1;El Encanto;1
2;La Chorrera;1
3;La Pedrera;1
4;La Victoria;1
5;Leticia;1
6;Miriti - Parana;1
7;Puerto Alegria;1
8;Puerto Arica;1
9;Puerto Nariño;1
10;Puerto Santander;1
11;Tarapaca;1
12;Abejorral;2
13;Abriaqui;2
14;Alejandria;2
15;Amaga;2
16;Amalfi;2
17;Andes;2
18;Angelopolis;2
19;Angostura;2
20;Anori;2
21;Anza;2
22;Apartado;2
23;Arboletes;2
24;Argelia;2
25;Armenia;2
26;Barbosa;2
27;Bello;2
28;Belmira;2
29;Betania;2
30;Betulia;2
31;Briceño;2
32;Buritica;2
33;Caceres;2
34;Caicedo;2
35;Caldas;2
36;Campamento;2
37;Cañasgordas;2
38;Caracoli;2
39;Caramanta;2
40;Carepa;2
41;Carolina;2
42;Caucasia;2
43;Chigorodo;2
44;Cisneros;2
45;Ciudad Bolivar;2
46;Cocorna;2
47;Concepcion;2
48;Concordia;2
49;Copacabana;2
50;Dabeiba;2
51;Don Matias;2
52;Ebejico;2
53;El Bagre;2
54;El Carmen De Viboral;2
55;El Santuario;2
56;Entrerrios;2
57;Envigado;2
58;Fredonia;2
59;Frontino;2
60;Giraldo;2
61;Girardota;2
62;Gomez Plata;2
63;Granada;2
64;Guadalupe;2
65;Guarne;2
66;Guatape;2
67;Heliconia;2
68;Hispania;2
69;Itagui;2
70;Ituango;2
71;Jardin;2
72;Jerico;2
73;La Ceja;2
74;La Estrella;2
75;La Pintada;2
76;La Union;2
77;Liborina;2
78;Maceo;2
79;Marinilla;2
80;Medellin;2
81;Montebello;2
82;Murindo;2
83;Mutata;2
84;Nariño;2
85;Nechi;2
86;Necocli;2
87;Olaya;2
88;Peðol;2
89;Peque;2
90;Pueblorrico;2
91;Puerto Berrio;2
92;Puerto Nare;2
93;Puerto Triunfo;2
94;Remedios;2
95;Retiro;2
96;Rionegro;2
97;Sabanalarga;2
98;Sabaneta;2
99;Salgar;2
100;San Andres De Cuerquia;2
101;San Carlos;2
102;San Francisco;2
103;San Jeronimo;2
104;San Jose De La Montaña;2
105;San Juan De Uraba;2
106;San Luis;2
107;San Pedro;2
108;San Pedro De Uraba;2
109;San Rafael;2
110;San Roque;2
111;San Vicente;2
112;Santa Barbara;2
113;Santa Rosa De Osos;2
114;Santafe De Antioquia;2
115;Santo Domingo;2
116;Segovia;2
117;Sonson;2
118;Sopetran;2
119;Tamesis;2
120;Taraza;2
121;Tarso;2
122;Titiribi;2
123;Toledo;2
124;Turbo;2
125;Uramita;2
126;Urrao;2
127;Valdivia;2
128;Valparaiso;2
129;Vegachi;2
130;Venecia;2
131;Vigia Del Fuerte;2
132;Yali;2
133;Yarumal;2
134;Yolombo;2
135;Yondo;2
136;Zaragoza;2
137;Arauca;3
138;Arauquita;3
139;Cravo Norte;3
140;Fortul;3
141;Puerto Rondon;3
142;Saravena;3
143;Tame;3
144;Baranoa;4
145;Barranquilla;4
146;Campo De La Cruz;4
147;Candelaria;4
148;Galapa;4
149;Juan De Acosta;4
150;Luruaco;4
151;Malambo;4
152;Manati;4
153;Palmar De Varela;4
154;Piojo;4
155;Polonuevo;4
156;Ponedera;4
157;Puerto Colombia;4
158;Repelon;4
159;Sabanagrande;4
160;Sabanalarga;4
161;Santa Lucia;4
162;Santo Tomas;4
163;Soledad;4
164;Suan;4
165;Tubara;4
166;Usiacuri;4
167;Bogota;5
168;Achi;6
169;Altos Del Rosario;6
170;Arenal;6
171;Arjona;6
172;Arroyohondo;6
173;Barranco De Loba;6
174;Calamar;6
175;Cantagallo;6
176;Cartagena;6
177;Cicuco;6
178;Clemencia;6
179;Cordoba;6
180;El Carmen De Bolivar;6
181;El Guamo;6
182;El Peñon;6
